"댓글리뷰","고객평점"
"코로나가 없었다면 정말 많은 이들이 보았을 영화. 잔잔하지만 열정적이고 아프지만 따뜻하다.각자의 꿈에 대하여도 생각하게 하고 연기 미술 의상 대사 모두 좋다.","10"
"원작도 읽었고 여러 번 영화와 tv 시리즈로 만들어진 작품들을 봤지만 이 영화가 가장 마음에 들었습니다. 현대적 감각으로 냉소적 유머를 섞어 잘 쓰여진 대사. 감독의 섬세한 연출, 배우들의 몰입된 연기, 무엇보다 소설 속에서 튀어나온 듯 완벽한 배역 덕분에 배우들도 자기 옷을 입은 듯 자연스러운 연기를 끌어낼 수 있지 않았나 싶네요. 페미니즘적인 해석도 캡틴 마블처럼 억지스럽지 않은, 후라이드 그린 토마토나 델마와 루이스를 연상케 하는 내가 나답게 존재하는 것, 그 이상도 이하도 아니어서 더 좋았습니다.","9"
"오만과편견 전쟁과 평화같은 고전명작이 생각나기도 하면서 또 한편으로는 주말연속극이 생각나는 푸근함 코로나걱정 잊게해주는 행복감 에이미와 조세핀의 특색있는 매력","9"
"지루한데 잼나요","8"
"과거와 현재가 얽혀있는 실을 풀어가는 듯한 전개.배우들 연기도 너무 좋았고 감동적이다","10"
"에이미를 온전히 이해하게 해준 것만 해도 별다섯개는 당연하다","10"
"원작을 읽어보고 싶은 생각이 들었습니다.네 자매의 얽히고 설킨 일상들 속에서도각각의 성격들이 분명하게 들어나고개연성 있는 인생 전개약간의 현실적 운명역학이고스란히 담긴 명작이었습니다.다만영화적 기승전결이좀 아쉬었습니다","8"
"재미없어요. 그저 착하고 아름답게만 그렸어요.","0"
"극의 초반에는 과거와 현재를 오고가는 교차편집 때문에 다소 혼란스러웠지만 시간이 갈수록 각 주인공들의 감정과 서사를 더 짙게 만들어준다. 행복함과 사랑스러움이 묻어 나오는 영화","8"
"","9"
"너무 지루하고 재미없어요. 원작의 감동이 안느껴지고 산만한 구성에 몰입하기 힘드네요. 비추입니다","1"
"영상미 굳, 능동적 여성의 모습을 보여준 조도 최고! 잘생긴 티모시 샬라메는 덤!","10"
"힘들어질 때 제일 먼저 찾게될 영화","10"
"보는 내내 시끌벅적한 가족들간의 행복이 뭍어나와서 흐믓했어요...시대물로서도 연출,미술,음악,연기 다 수준급입니다..자극적이지 않은 따뜻한 영화","9"
"고전의 무리없는 재해석","6"
"","10"
"","2"
"잔잔하고 따뜻한 영화","9"
"요근래 본 영화 중 최고의 영화~연출, 연기, 음악 나무랄 데가 없음.  재미와 감동을 모두 갖춘 수작","10"
"","10"
"과거와 현재를 뒤틀어버린 영화 흐름과 자매들끼리 대화시 과장된 표정과 행동은 영화에 집중을 떨어뜨립니다.","6"
"김지영  이랑  비슷함.   드디어  끝까지  봤음.","6"
"오만과 편견같은 영화 ㅜㅜ 정말 최애가 될듯","10"
"집에서 봤으면 채널돌렸을꺼임과거현재 왔다갔다 정신사납고 지루함","2"
"","0"
"원작을 잘 실사화했지만 생각보다 크게 재미없고 밋밋했어요","5"
"이 영화평점이 왜 생각보다 낮지 개인적으로는 10점짜리인데..ㅎ 그리고 배급사가 소니인거랑 영화랑 무슨 상관인걸까 ㅋㅋㅋ","10"
"","9"
"","9"
"지루하기 보다는 편안한 한편의 드라마를 보는것 같았다. 가족 드라마. 따뜻한 그 느낌이 좋았다.","7"
"한 편의 아름다운 소설을 보는 듯한 영화","9"
"과거와 현재가 왔다갔다 정신 사나웠고.분위기는 지루했다.","6"
"","10"
"아름다워~","10"
"영화 분위기가 내 스타일이었다.","10"
"","8"
"보면서 계속 울었어요ㅠㅜ진짜 최고ㅠㅜ","10"
"배경과 배우들의 연기가 좋았어요","8"
"아름다운 화면과 음악, 배우들의 연기에 행복했다.","9"
"","10"
"1994년작 작은아씨들이 더.... 좋은....................","9"
"","10"
"","5"
"아름다운 화면과 스토리에 푹빠져 시간가는 줄 몰랐던","10"
"","10"
"","2"
"","3"
"과하게 고평가 된 영화.영국뽕 못잃는 아카데미라 노미네이트 된거지 별 것도 없음.그리고 자매들끼리 하는 연기 나만 오그라 들었나?ㅋㅋㅋ","5"
"기대없이 봤는데 인생영화됬네요","10"
"소니가 배급사라..","1"
"","1"
"음......기대치가  커서  그랬는지조금 지루하고....그냥  재미가  그닥.....정신없이  왔다리 갔다리 ㅎ","6"
"","10"
"감동을 일부러 주려는 것도 아닌데 주인공들에 상황에 이입해서 감동받고 눈물이 나왔어요...이입해서 봐서그런지 지루한 지도 몰랐고... 색감차이로 과거와 현재를 왔다갔다해서 별로 헷갈리지도 않고 재밌게 잘 봤습니다!!!최고!!!","10"
